Time/s,Azimuth/deg,Zenith/deg
10.0,0.0,6.123233995736766e-16
9.996573249755572,0.0,0.2617694830787314
9.986295347545738,0.0,0.5233595624294397
9.969173337331279,0.0,0.78459095727845
9.945218953682733,0.0,1.0452846326765346
9.914448613738104,0.0,1.305261922200517
9.876883405951379,0.0,1.5643446504023093
9.832549075639546,0.0,1.8223552549214745
9.781476007338055,0.0,2.0791169081775944
9.723699203976766,0.0,2.334453638559055
9.659258262890683,0.0,2.5881904510252074
9.58819734868193,0.0,2.840153447039228
9.510565162951535,0.0,3.0901699437494745
9.426414910921784,0.0,3.338068592337709
9.335804264972017,0.0,3.583679495453004
9.238795325112868,0.0,3.8268343236508984
9.135454576426008,0.0,4.067366430758002
9.025852843498605,0.0,4.3051109680829525
8.910065241883679,0.0,4.539904997395468
8.788171126619654,0.0,4.771587602596084
8.660254037844386,0.0,5.000000000000001
8.526401643540922,0.0,5.224985647159489
8.386705679454241,0.0,5.446390350150271
8.241261886220157,0.0,5.664062369248328
8.090169943749475,0.0,5.877852522924732
7.933533402912351,0.0,6.087614290087206
7.771459614569709,0.0,6.2932039104983755
7.6040596560003095,0.0,6.494480483301837
7.431448254773942,0.0,6.691306063588582
7.253743710122876,0.0,6.88354575693754
7.071067811865475,0.0,7.0710678118654755
6.883545756937539,0.0,7.253743710122876
6.691306063588582,0.0,7.431448254773942
6.494480483301837,0.0,7.6040596560003095
6.293203910498374,0.0,7.771459614569709
6.087614290087206,0.0,7.933533402912351
5.877852522924732,0.0,8.090169943749475
5.664062369248328,0.0,8.241261886220157
5.446390350150271,0.0,8.386705679454241
5.224985647159488,0.0,8.526401643540922
4.999999999999999,0.0,8.660254037844387
4.771587602596084,0.0,8.788171126619654
4.5399049973954675,0.0,8.910065241883679
4.305110968082952,0.0,9.025852843498607
4.067366430758002,0.0,9.135454576426008
3.826834323650898,0.0,9.238795325112868
3.5836794954530027,0.0,9.335804264972017
3.338068592337709,0.0,9.426414910921784
3.090169943749474,0.0,9.510565162951535
2.8401534470392265,0.0,9.58819734868193
2.5881904510252074,0.0,9.659258262890683
2.334453638559054,0.0,9.723699203976766
2.0791169081775935,0.0,9.781476007338057
1.8223552549214748,0.0,9.832549075639546
1.5643446504023086,0.0,9.876883405951379
1.3052619222005157,0.0,9.914448613738104
1.0452846326765348,0.0,9.945218953682733
0.7845909572784494,0.0,9.969173337331279
0.5233595624294384,0.0,9.986295347545738
0.26176948307873155,0.0,9.996573249755572
0.0,0.0,10.0
-0.26176948307873155,-0.0,9.996573249755572
-0.5233595624294384,-0.0,9.986295347545738
-0.7845909572784494,-0.0,9.969173337331279
-1.0452846326765348,-0.0,9.945218953682733
-1.3052619222005157,-0.0,9.914448613738104
-1.5643446504023086,-0.0,9.876883405951379
-1.8223552549214748,-0.0,9.832549075639546
-2.0791169081775935,-0.0,9.781476007338057
-2.334453638559054,-0.0,9.723699203976766
-2.5881904510252074,-0.0,9.659258262890683
-2.8401534470392265,-0.0,9.58819734868193
-3.090169943749474,-0.0,9.510565162951535
-3.338068592337709,-0.0,9.426414910921784
-3.5836794954530027,-0.0,9.335804264972017
-3.826834323650898,-0.0,9.238795325112868
-4.067366430758002,-0.0,9.135454576426008
-4.305110968082952,-0.0,9.025852843498607
-4.5399049973954675,-0.0,8.910065241883679
-4.771587602596084,-0.0,8.788171126619654
-4.999999999999999,-0.0,8.660254037844387
-5.224985647159488,-0.0,8.526401643540922
-5.446390350150271,-0.0,8.386705679454241
-5.664062369248328,-0.0,8.241261886220157
-5.877852522924732,-0.0,8.090169943749475
-6.087614290087206,-0.0,7.933533402912351
-6.293203910498374,-0.0,7.771459614569709
-6.494480483301837,-0.0,7.6040596560003095
-6.691306063588582,-0.0,7.431448254773942
-6.883545756937539,-0.0,7.253743710122876
-7.071067811865475,-0.0,7.0710678118654755
-7.253743710122876,-0.0,6.88354575693754
-7.431448254773942,-0.0,6.691306063588582
-7.6040596560003095,-0.0,6.494480483301837
-7.771459614569709,-0.0,6.2932039104983755
-7.933533402912351,-0.0,6.087614290087206
-8.090169943749475,-0.0,5.877852522924732
-8.241261886220157,-0.0,5.664062369248328
-8.386705679454241,-0.0,5.446390350150271
-8.526401643540922,-0.0,5.224985647159489
-8.660254037844386,-0.0,5.000000000000001
-8.788171126619654,-0.0,4.771587602596084
-8.910065241883679,-0.0,4.539904997395468
-9.025852843498605,-0.0,4.3051109680829525
-9.135454576426008,-0.0,4.067366430758002
-9.238795325112868,-0.0,3.8268343236508984
-9.335804264972017,-0.0,3.583679495453004
-9.426414910921784,-0.0,3.338068592337709
-9.510565162951535,-0.0,3.0901699437494745
-9.58819734868193,-0.0,2.840153447039228
-9.659258262890683,-0.0,2.5881904510252074
-9.723699203976766,-0.0,2.334453638559055
-9.781476007338055,-0.0,2.0791169081775944
-9.832549075639546,-0.0,1.8223552549214745
-9.876883405951379,-0.0,1.5643446504023093
-9.914448613738104,-0.0,1.305261922200517
-9.945218953682733,-0.0,1.0452846326765346
-9.969173337331279,-0.0,0.78459095727845
-9.986295347545738,-0.0,0.5233595624294397
-9.996573249755572,-0.0,0.2617694830787314
-10.0,-0.0,6.123233995736766e-16
9.563047559630354,2.9237170472273677,6.123233995736766e-16
9.55977054207411,2.922715162416745,0.2617694830787314
9.549941735309524,2.9197101946266826,0.5233595624294397
9.533567875509789,2.914704203312001,0.78459095727845
9.510660184500521,2.907700619329093,1.0452846326765346
9.481234362068873,2.898704242584584,1.305261922200517
9.445310575203687,2.887721238745715,1.5643446504023093
9.402913444274047,2.874759135014704,1.8223552549214745
9.354072026155706,2.859826814969976,2.0791169081775944
9.298819794316962,2.8429345124778056,2.334453638559055
9.237194615877607,2.82409380467853,2.5881904510252074
9.169238725656697,2.803317604052161,2.840153447039228
9.094998697226913,2.780620149568813,3.0901699437494745
9.014525410995375,2.7560169969300268,3.338068592337709
8.92787401933273,2.7295250079076654,3.583679495453004
8.835103908774494,2.7011623387877,3.8268343236508984
8.736278659320469,2.6709484279267994,4.067366430758002
8.631466000860202,2.6389039824302483,4.3051109680829525
8.520737766754296,2.605050963960335,4.539904997395468
8.404169844603402,2.5694125736849225,4.771587602596084
8.281842124238667,2.5320132363765273,5.000000000000001
8.153838442969226,2.492878583672804,5.224985647159489
8.020246528124291,2.452035436509895,5.446390350150271
7.881157936929232,2.4095117867407043,5.664062369248328
7.736667993756825,2.3653367779506813,5.877852522924732
7.586875724796686,2.319540685484259,6.087614290087206
7.431883790187671,2.2721548956956488,6.2932039104983755
7.271798413659739,2.223211884438198,6.494480483301837
7.10672930973352,2.1727451948070646,6.691306063588582
6.9367896085274605,2.1207894141504546,6.88354575693754
6.762095778224087,2.0673801503651807,7.0710678118654755
6.582767545248541,2.0125540074927897,7.253743710122876
6.398927812214058,1.9563485606329791,7.431448254773942
6.21070257369066,1.8988023301915016,7.6040596560003095
6.0182208298547675,1.839954755480203,7.771459614569709
5.821614498078933,1.7798461676872894,7.933533402912351
5.621018322522247,1.718517762236343,8.090169943749475
5.416569781783435,1.6560115705530372,8.241261886220157
5.2084089946798855,1.5923704312588978,8.386705679454241
4.996678624217217,1.5276379608118515,8.526401643540922
4.781523779815176,1.4618585236136836,8.660254037844387
4.563091917856894,1.3950772016048938,8.788171126619654
4.341532740629638,1.3273397633677846,8.910065241883679
4.116998093726354,1.2586926327589643,9.025852843498607
3.8896418619782738,1.1891828570927505,9.135454576426008
3.6596198639899398,1.1188580748972945,9.238795325112868
3.4270897453489177,1.0477664832655116,9.335804264972017
3.192210870583386,0.9759568048232022,9.426414910921784
2.9551442139416477,0.9034782543369974,9.510565162951535
2.7160522490684214,0.8303805049850157,9.58819734868193
2.4750988376535195,0.7567136543133488,9.659258262890683
2.2324491171292364,0.6825281899017062,9.723699203976766
1.9882693874933943,0.6078749547617488,9.781476007338057
1.742726997335636,0.5328051124918292,9.832549075639546
1.4959902291450597,0.4573701122120167,9.876883405951379
1.2482281839778067,0.381621653303441,9.914448613738104
0.9996106655636448,0.3056116499761182,9.945218953682733
0.7503080639309719,0.2293921956895442,9.969173337331279
0.5004912386300051,0.15301552745044047,9.986295347545738
0.25033140163417633,0.07653399001211834,9.996573249755572
0.0,0.0,10.0
-0.25033140163417633,-0.07653399001211834,9.996573249755572
-0.5004912386300051,-0.15301552745044047,9.986295347545738
-0.7503080639309719,-0.2293921956895442,9.969173337331279
-0.9996106655636448,-0.3056116499761182,9.945218953682733
-1.2482281839778067,-0.381621653303441,9.914448613738104
-1.4959902291450597,-0.4573701122120167,9.876883405951379
-1.742726997335636,-0.5328051124918292,9.832549075639546
-1.9882693874933943,-0.6078749547617488,9.781476007338057
-2.2324491171292364,-0.6825281899017062,9.723699203976766
-2.4750988376535195,-0.7567136543133488,9.659258262890683
-2.7160522490684214,-0.8303805049850157,9.58819734868193
-2.9551442139416477,-0.9034782543369974,9.510565162951535
-3.192210870583386,-0.9759568048232022,9.426414910921784
-3.4270897453489177,-1.0477664832655116,9.335804264972017
-3.6596198639899398,-1.1188580748972945,9.238795325112868
